1.0.169.49: Krabi, Krabi, TH
1.0.203.26: Trang, Trang, TH
1.0.247.117: Krabi, Krabi, TH
1.1.135.125: Sakon Nakhon, Sakon Nakhon, TH
1.1.175.165: Chiang Mai, Chiang Mai, TH
1.1.178.236: Bangkok, Bangkok, TH
1.1.207.234: Nakhon Phanom, Nakhon Phanom, TH
1.1.240.112: Nakhon Ratchasima, Nakhon Ratchasima, TH
1.1.244.17: Nakhon Ratchasima, Nakhon Ratchasima, TH
1.10.143.139: None, None, TH
1.10.150.57: Phuket, Phuket, TH
1.10.184.125: Bangkok, Bangkok, TH
1.10.185.168: Bangkok, Bangkok, TH
1.10.190.251: Bangkok, Bangkok, TH
1.10.234.103: Nakhon Pathom, Nakhon Pathom, TH
1.179.136.130: Bangkok, Bangkok, TH
1.179.166.26: Bangkok, Bangkok, TH
1.179.175.110: Bangkok, Bangkok, TH
1.179.206.166: None, None, TH
1.179.239.57: Bang Phli, Samut Prakan, TH
1.2.138.234: Udon Thani, Udon Thani, TH
1.2.185.233: Bangkok, Bangkok, TH
1.2.219.166: Bangkok, Bangkok, TH
1.2.225.169: Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya, TH
1.2.228.158: Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya, TH
1.2.229.235: Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya, TH
1.2.240.152: Pathum Thani, Pathum Thani, TH
1.2.240.186: Pathum Thani, Pathum Thani, TH
1.2.252.82: Pathum Thani, Pathum Thani, TH
1.20.104.11: Bangkok, Bangkok, TH
1.20.168.212: Pattaya, Chon Buri, TH
1.20.169.197: Pattaya, Chon Buri, TH
1.20.172.123: Pattaya, Chon Buri, TH
1.20.198.135: Bangkok, Bangkok, TH
1.20.203.238: Bangkok, Bangkok, TH
1.20.206.151: Bangkok, Bangkok, TH
1.20.207.196: Bangkok, Bangkok, TH
1.20.92.77: Bangkok, Bangkok, TH
1.32.12.140: Cyberjaya, Selangor, MY
1.32.12.171: Cyberjaya, Selangor, MY
1.32.12.233: Cyberjaya, Selangor, MY
1.32.124.26: Cyberjaya, Selangor, MY
1.32.16.28: Cyberjaya, Selangor, MY
1.32.56.172: Kuala Lumpur, Kuala Lumpur, MY
1.32.56.173: Kuala Lumpur, Kuala Lumpur, MY
1.32.56.174: Kuala Lumpur, Kuala Lumpur, MY
