ip,asn,asn owner,city,state,country,notes
139.60.29.186,36012,HUNTER-COMM,Medford,Oregon,US,
15.200.172.145,8987,Amazon Data Services Ireland Ltd,Boardman,Oregon,US,"mciawsvpn.metalcraftind.com"
172.86.143.177,25764,IFIBER-COMMUNICATIONS,Wenatchee,Washington,US,"keyholesecurityinc.west.3cx.us related to ecs.keyholesecurityhost.com"
173.241.165.21,32365,SANDYNET,Sandy,Oregon,US,"FG 60F vpn.sandyfire.org"
199.66.196.134,13857,ONLINEMAC,Eugene,Oregon,US,"FG 100F XSMedia Serial: FG100FTK20017157"
207.109.34.154,209,CENTURYLINK-US-LEGACY-QWEST,Portland,Oregon,US,
216.115.4.34,36012,HUNTER-COMM,Medford,Oregon,US,
216.115.9.100,36012,HUNTER-COMM,Klamath Falls,Oregon,US,
24.20.12.56,7922,COMCAST-7922,Portland,Oregon,US,"FG 61F Serial: FGT61FTK20022988"
50.201.126.170,7922,COMCAST-7922,Renton,Washington,US,"mea-den-rtr-01.meagherdenveroffice.com"
50.204.61.190,7922,COMCAST-7922,Bellevue,Washington,US,"FG 100F Serial: FG100FTK22014779"
50.209.61.105,7922,COMCAST-7922,Portland,Oregon,US,
50.212.218.193,7922,COMCAST-7922,Seattle,Washington,US,
50.76.96.85,7922,COMCAST-7922,Portland,Oregon,US,
50.78.189.49,7922,COMCAST-7922,Portland,Oregon,US,
51.141.184.210,8075,MICROSOFT-CORP-MSN-AS-BLOCK,None,Washington,US,
51.143.33.88,8075,MICROSOFT-CORP-MSN-AS-BLOCK,None,Washington,US,
63.155.70.43,209,CENTURYLINK-US-LEGACY-QWEST,Springfield,Oregon,US,
63.208.136.78,3356,LEVEL3,None,Washington,US,
65.102.37.82,209,CENTURYLINK-US-LEGACY-QWEST,Portland,Oregon,US,
65.144.41.130,209,CENTURYLINK-US-LEGACY-QWEST,Seattle,Washington,US,
67.134.193.66,209,CENTURYLINK-US-LEGACY-QWEST,Seattle,Washington,US,
67.136.178.98,7385,ABUL-14-7385,Portland,Oregon,US,
70.99.4.52,7385,ABUL-14-7385,Portland,Oregon,US,
75.150.0.193,7922,COMCAST-7922,Spokane,Washington,US,
76.115.151.240,7922,COMCAST-7922,Eugene,Oregon,US,
